Bloco de Linhas,Bloco Pré-processado,Sentimento
"O crime vai, o crime vem A quebrada ta normal e eu tô também O movimento da dinheiro sem problema O consumo ta em alta como manda o sistema","crim vai , crim vem quebr ta norm tô mov dinh problem consum ta alt mand sistem",Negativo
"O crime vai, o crime vem A quebrada ta normal e eu tô também Onde há fogo; a fumaça Onde chega a droga é inevitavel, embaça","crim vai , crim vem quebr ta norm tô ond fog ; fumaç ond cheg drog inevita , embaç",Negativo
"Eu tô aqui com uma nove na mão Cercado de droga e muita disposição, ladrão Fui rotulado pela sociedade","tô aqu nov mão cerc drog muit dispos , ladr rotul sociedad",Negativo
"Um passo a mais pra ficar na criminalidade O meu cotidiano é um teste de sobrevivencia Já tô na vida, então, paciência Pra cadeia não quero, não volto nunca mais","pass pra fic criminal cotidi test sobrevivenc tô vid , ent , paci pra cade quer , volt nunc",Neutro
"Ae truta, se for pra ser, eu quero é mais Aqui é mó covil, ninho de serpentes Tem que ser louco pra vim bater de frente Minha coroa não pode passar veneno","ae trut , pra , quer aqu mó covil , ninh serp louc pra vim bat frent coro pod pass venen",Neutro
"Já é velha e meu moleque ainda é pequeno Um irmão morreu, o outro se casou Saiu dessa porra, firmeza se jogou Só eu fiquei fazendo tempo por aqui","velh molequ aind pequen irm morr , outr cas saiu dess porr , firm jog fiq faz temp aqu",Negativo
"Tentei evitar mas não consegui, aí Se meu futuro já estiver traçado Eu vou até o fim só pra ver o resultado Quero dinheiro e uma vida melhor","tent evit consegu , aí futur traç vou fim pra ver result quer dinh vid melhor",Neutro
"Antes que meu castelo se transforme em pó Só, o vício da morte está a venda Em cada rua uma alma","ant castel transform pó , víci mort vend cad rua alm",Negativo
"Em cada alma uma encomenda O consumo pra alguns é uma ameaça Vários desanda, vacila e vira caça Tem mano que dá várias narigada aqui","cad alm encomend consum pra algum ameaç vári desand , vacil vir caç man dá vár narig aqu",Negativo
Cheira até umas hora Deixa cair É intensidade o tempo inteiro,che uma hor deix cair intens temp int,Negativo
"Quartel latino, São Paulo ao Rio de Janeiro Dá mó dinheiro, dólares Rato de sócio Nesse ramo são que nem abutre no negócio","quartel latin , paul rio jan dá mó dinh , dól rat sóci ness ram abutr negóci",Neutro
"A noite chega, a febre aumenta Pode ser da paz ou curviana violenta -Então, vamo terminar de enrolar um baguio pra nós fazer o role, irmão","noit cheg , febr aument pod paz curvi violent -ent , vam termin enrol bagui pra faz rol , irm",Negativo
"-Firmeza, firmeza mano -Vai, vai, vai, vai, vai, todo mundo é mão na cabeça, mão na cabeça, cadê o baguio irmão... Vai que ta caguetado, quem que é o claudio ai? Vai, quem que é o claudio ai no baguio? Trafico não tranca mais segredo","-firm , firm man -v , vai , vai , vai , vai , tod mund mão cabeç , mão cabeç , cad bagui irm ... vai ta caguet , claudi ai ? vai , claudi ai bagui ? traf tranc segred",Negativo
"São 3 horas da manhã e pra alguns maluco ainda é cedo Na esquina, na entrada da favela Uma mula de campana Fumando na viela","3 hor manhã pra algum maluc aind ced esquin , entr favel mul campan fum viel",Negativo
"-Ai, cadê o claudio? Ai, o claudio ta perdido","-ai , cad claudi ? ai , claudi ta perd",Negativo
Foragido da quebrada Ele deixou tudo comigo Os ganso ta na febre Mas flagrante é dinheiro,forag quebr deix tud comig gans ta febr flagr dinh,Negativo
Eu tô ligeiro a todo instante parceiro Mês de agosto atravessa o inverno Os anjo do céu guia meus passos andando no inferno,tô lig tod instant parc mê agost atravess invern anj céu gui pass and infern,Neutro
"Será eterno a estrada do fim Ai que tá, é vulneravel Provavel pra mim Que seja assim","etern estr fim ai tá , vulnera prova pra mim assim",Negativo
"Um ganha e outro perde Enquanto um louco cheira, o demonio se diverte O pobre, o preto, no gueto é sempre assim","ganh outr perd enquant louc che , demoni divert pobr , pret , guet sempr assim",Negativo
O tempo não para A guerra não tem fim O crime e a favela é lado a lado É que nem dois aliado,temp guerr fim crim favel lad lad doi ali,Negativo
"O isqueiro e o cigarro Na viela, no beco, na rua sem saída Na esquina da quebrada Continua assim na mesma vida","isqu cigarr viel , bec , rua saíd esquin quebr continu assim mesm vid",Negativo
"Rotina que assim vai e prossegue Vitorioso é aquele que se pá, consegue sobreviver E não deitar crivado na bala Igual na rua d, ensanguentado no meio da vala","rotin assim vai prosseg vitori pá , conseg sobreviv deit criv bal igual rua d , ensanguent mei val",Neutro
"Muita cautela ainda é pouco Mano armado, traira, andando que nem louco Mano passando uns barato roubado Jogo arriscado, mas quem ta preocupado?","muit cautel aind pouc man arm , tra , and louc man pass um barat roub jog arrisc , ta preocup ?",Negativo
"Sujeito ou cuzão, herói ou vilão Cada. 40 na mente, diferente reação Cada estrada uma lição Da própria vida","sujeit cu , heró vil cad . 40 ment , difer reaç cad estr liç própr vid",Neutro
"Cada caminho um atalho Uma tentativa A qualidade daqui, são das piores Vários maluco dando o sangue por dias melhores","cad caminh atalh tent qual daqu , pi vári maluc dand sang dia melhor",Neutro
"Foi dado um golpe de estado cavernoso A maquina do desemprego Fabrica criminoso De bombeta, tatuado, sem camisa","dad golp est cavern maquin desempreg fabr crimin bombet , tatu , camis",Negativo
"De bermudão, no pião, na mesma brisa Formação de quadrilha conduz o crime Fora da lei, eu sei, eu vejo filme Las Vegas o patrão gira a roleta","bermud , piã , mesm bris form quadrilh conduz crim lei , sei , vej film la veg patrã gir rolet",Negativo
"Controla tudo, na ponta da caneta Sentindo na garganta, o amargo do fel Com o crime organizado, na torre de babel Inteligente é o que vai pra cama mais cedo","control tud , pont canet sent gargant , amarg fel crim organiz , torr babel intelig vai pra cam ced",Neutro
"Com uma quadrada na cintura não é mais segredo Não tenha medo, então, por que você veio aqui? É guerra fria e você ta bem no meio aí Fogo cruzado, lado norte","quadr cint segred med , ent , vei aqu ? guerr fri ta bem mei aí fog cruz , lad nort",Negativo
"Só vagabundo, bandidagem, e a morte Boa sorte Hey, hey, hey nego","vagabund , bandid , mort boa sort hey , hey , hey neg",Negativo
"Você está na sintonia da sua Rádio Êxodos Eu, DJ Nel, comandando o melhor da Black Music São 23 minutos de um novo dia O Japonês do Jardim Rosana manda um salve para o Zezé","sinton rádi êxod , dj nel , comand melhor black music 23 minut nov dia japon jardim rosan mand salv zezé",Neutro
"Pro Chiquinho, pro Kau, pro Ribeiro, pro Tisso, Zulu, e o Serginho O Valtinho da Sabin manda um salve aí pro Vandão da Vila do Sapo E a Kiara do Embu manda um abraço para a Viviane do Sadí É, o Papau do Parque manda um salve pros manos da 50 né","pro chiq , pro kau , pro rib , pro tiss , zulu , serg valt sabin mand salv aí pro vand vil sap ki embu mand abraç vivian sadí , papau parqu mand salv pro man 50 né",Neutro
E a Adriana do Tamoio manda um salve aí Para rapa do Sujeito Suspeito do Paranapanema E pra você que está pensando em fazer um pião Pegue seu bombojaco,adri tamoi mand salv aí rap sujeit suspeit paranapanem pra pens faz piã peg bombojac,Neutro
"E sua toca porque faz 10°c em São Paulo A Lua cheia clareia as ruas do Capão Acima de nós só Deus, humilde né não, né não?","toc porqu faz 10°c paul lua chei clare rua cap acim deu , humild né , né ?",Negativo
"Saúde, plin, mulher e muito som Vinho branco para todos, um advogado bom Cof, cof, ah! Esse frio tá de foder","saúd , plin , mulh som vinh branc tod , advog bom cof , cof , ah ! fri tá fod",Neutro
"Terça-feira é ruim de rolê, vou fazer o quê? Nunca mudou nem nunca mudará O cheiro de fogueira vai perfumando o ar Mesmo céu, mesmo CEP, no lado Sul do mapa","terça-f ruim rol , vou faz quê ? nunc mud nunc mud cheir fogu vai perfum ar céu , cep , lad sul map",Negativo
"Sempre ouvindo um rap para alegrar a rapa Nas ruas da Sul eles me chamam Brown Maldito, vagabundo, mente criminal O que toma uma taça de champanhe e também curte","sempr ouv rap alegr rap rua sul cham brown maldit , vagabund , ment crim tom taç champanh curt",Neutro
"Desbaratinado, tubaína tutti-frutti Fanático, melodramático, bon-vivant Depósito de mágoa, quem tá certo é o Saddam, ham Playboy bom é chinês, australiano","desbaratin , tubaín tutti-frutt faná , melodramá , bon-vivant depósit mágo , tá cert sadd , ham playboy bom chin , australi",Negativo
"Fala feio e mora longe e não me chama de mano E aí, brother, hey, uhul, pau no seu (ai) Três vezes seu sofredor, eu odeio todos vocês","fal fei mor long cham man aí , broth , hey , uhul , pau ( ai ) trê vez sofr , odei tod",Negativo
"Vem de artes marciais, que eu vou de Sig Sauer Quero sua irmã, seu relógio Tag Heuer Um conto se pá, dá pra catar Ir para a quebrada e gastar, antes do galo cantar","vem art marc , vou sig sau quer irmã , relógi tag heu cont pá , dá pra cat ir quebr gast , ant gal cant",Neutro
"Um triplex para a coroa é o que malandro quer Não só desfilar de Nike no pé Ô, vem com a minha cara e o din-din do seu pai Mas no rolê com nós, cê não vai","triplex coro malandr qu desfil nik pé ô , vem car din-din pai rol , cê vai",Neutro
"Nós aqui, vocês lá, cada um no seu lugar Entendeu, se a vida é assim, tem culpa eu? Se é o crime ou o creme, se não deves, não teme As perversa se ouriça e os inimigo treme","aqu , lá , cad lug entend , vid assim , culp ? crim crem , dev , tem pervers ouriç inimig trem",Negativo
"E a neblina cobre a estrada de Itapecerica Sai, Deus é mais, vai morrer pra lá zica Não adianta querer, tem que ser, tem que pá","neblin cobr estr itapecer sai , deu , vai morr pra lá zic adiant quer , , pá",Negativo
"O mundo é diferente da ponte pra cá Não adianta querer ser, tem que ter pra trocar O mundo é diferente da ponte pra cá Tem que ser, tem que pá","mund difer pont pra cá adiant quer , ter pra troc mund difer pont pra cá , pá",Neutro
"O mundo é diferente da ponte pra cá Não adianta querer ser, tem que ter pra trocar Ai, ai, ai","mund difer pont pra cá adiant quer , ter pra troc ai , ai , ai",Neutro
"Outra vez nóis aqui, vai vendo Lavando o ódio embaixo do sereno Cada um no seu castelo, cada um na sua função Tudo junto, cada qual na sua solidão","outr vez nóil aqu , vai vend lav ódi embaix seren cad castel , cad funç tud junt , cad solid",Negativo
"Ei, mulher é mato, a Mary Jane impera Dilui a rádio e solta na atmosfera Faz na quebrada o equilíbrio ecológico Que distingue o Judas só no psicológico","ei , mulh mat , mary jan imp dilu rádi solt atmosf faz quebr equilíbri ecológ disting jud psicológ",Negativo
"Ó, filosofia de fumaça, analise Cada favelado é um universo em crise Quem não quer brilhar, quem não, mostra quem? Ninguém quer ser coadjuvante de ninguém","ó , filosof fumaç , analis cad favel univers cris qu brilh , , mostr ? ninguém qu coadjuv ninguém",Neutro
"Quantos cara bom, no auge se afundaram por fama E tá tirando dez de Havaiana? E quem não quer chegar de Honda, preto em banco de couro E ter a caminhada escrita em letras de ouro?","quant car bom , aug afund fam tá tir dez havai ? qu cheg hond , pret banc cour ter caminh escrit letr our ?",Negativo
"A mulher mais linda sensual e atraente A pele cor da noite, lisa e reluzente Andar com quem é mais leal, verdadeiro Na vida ou na morte, o mais nobre guerreiro","mulh lind sens atra pel cor noit , lis reluz and leal , verd vid mort , nobr guerr",Neutro
"O riso da criança mais triste e carente Ouro e diamante, relógio e corrente Ver minha coroa onde eu sempre quis pôr De turbante, chofer, uma madame nagô","ris crianç trist carent our diam , relógi corr ver coro ond sempr quil pôr turb , chof , madam nagô",Negativo
"Sofrer pra que mais, se o mundo jaz do maligno? Morrer como homem e ter um velório digno Eu nunca tive bicicleta ou videogame Agora eu quero o mundo igual Cidadão Kane","sofr pra , mund jaz malign ? morr hom ter velóri dign nunc biciclet videogam agor quer mund igual cidad kan",Negativo
"Da ponte pra cá, antes de tudo é uma escola Minha meta é dez, nove e meio nem rola Meio ponto a ver, hum, e morre um Meio certo não existe, truta, o ditado é comum","pont pra cá , ant tud escol met dez , nov mei rol mei pont ver , hum , morr mei cert exist , trut , dit comum",Neutro
"Ser humano perfeito, não tem mesmo, não Procurada viva ou morta a perfeição Errare humanos est, grego ou troiano? Latim, tanto faz pra mim, fi de baiano","human perfeit , , procur viv mort perfe err human est , greg troi ? latim , tant faz pra mim , fi baian",Negativo
"Mas se tiver calor, quentão no verão Cê quer dar um rolê no Capão daquele jeito Mas perde a linha fácil, veste a carapuça Esquece esses defeitos no seu jaco de camurça","cal , quent ver cê qu dar rol cap daquel jeit perd linh fácil , vest carap esquec defeit jac camurç",Negativo
"Jardim Rosana, Três Estrelas e Imbé Santa Tereza, Valo Velho, Dom José Parque, Chácara, Lídia, Vaz Fundão, muita treta pra Vinícius de Morais","jardim rosan , trê estrel imbé sant ter , val velh , dom josé parqu , chác , líd , vaz fund , muit tret pra viníc moral",Negativo
"Não adianta querer, tem que ser, tem que pá O mundo é diferente da ponte pra cá Não adianta querer ser, tem que ter pra trocar","adiant quer , , pá mund difer pont pra cá adiant quer , ter pra troc",Neutro
"O mundo é diferente da ponte pra cá Ha-ha Tem que ser, tem que pá O mundo é diferente da ponte pra cá","mund difer pont pra cá ha-h , pá mund difer pont pra cá",Negativo
"Não adianta querer ser, tem que ter pápápá Firmeza total Mas não leve a mal, tru","adiant quer , ter pápáp firm total lev mal , tru",Neutro
"Cê não entendeu Cada um na sua função, o crime é crime e eu sou eu Antes de tudo eu quero dizer, pra ser sincero Que eu não pago de quebrada, mula ou banca forte","cê entend cad funç , crim crim ant tud quer diz , pra sincer pag quebr , mul banc fort",Negativo
"Eu represento a Sul, conheço louco na Norte No 15, olha o que fala, Perus, chicote estrala Ridículo é ver os malandrão vândalo Batendo no peito, feio, fazendo escândalo","represent sul , conheç louc nort 15 , olh fal , peru , chicot estral ridícul ver malandr vândal bat peit , fei , faz escândal",Negativo
"Deixa ele engordar, deixa se criar bem Vai fundo, é com nóis, super star, Superman, vai Palmas para eles, digam hey, digam ow","deix engord , deix cri bem vai fund , nóil , sup st , superman , vai palm , dig hey , dig ow",Negativo
"Novo personagem pro Chico Anysio Show Mas firmão, né, se Deus quer, sem problemas Vermes e leões no mesmo ecossistema Cê é cego, doidão, então baixa os farol","nov person pro chic anysi show firm , né , deu qu , problem verm leõ ecossistem cê ceg , doid , ent baix farol",Neutro
"Hei, ow, cê quer o quê com quem, jow? Tá marcando, não dá pra ver quem é contra a luz Um pé de porco ou inimigo que vem de capuz Hey truta, eu tô louco, eu tô vendo miragem",", ow , cê qu quê , jow ? tá marc , dá pra ver contr luz pé porc inimig vem capuz hey trut , tô louc , tô vend mir",Negativo
Um Bradesco bem em frente da favela é viagem De classe A da TAM tomando JB Ou viajar de Blazer pro 92 DP Viajar de GTI quebra a banca,brad bem frent favel viag cl tam tom jb viaj blaz pro 92 dp viaj gti quebr banc,Negativo
"Só não pode viajar com os mão branca Senhor, guarda meus irmão nesse horizonte cinzento Nesse Capão Redondo, frio, sem sentimento Os mano é sofrido e fuma um sem dar goela","pod viaj mão branc senh , guard irm ness horizont cinzent ness cap red , fri , sent man sofr fum dar goel",Negativo
É o estilo favela e o respeito por ela Os moleque tem instinto e ninguém amarela Os coxinha cresce o zóio na função e gela,estil favel respeit molequ instint ninguém amarel cox cresc zói funç gel,Neutro
"Não adianta querer, tem que ser, tem que pá O mundo é diferente da ponte pra cá Não adianta querer ser, tem que ter pra trocar O mundo é diferente da ponte pra cá","adiant quer , , pá mund difer pont pra cá adiant quer , ter pra troc mund difer pont pra cá",Negativo
"Não adianta querer, tem que ser, tem que pá O mundo é diferente da ponte pra cá Não adianta querer ser, tem que pra trocar","adiant quer , , pá mund difer pont pra cá adiant quer , pra troc",Neutro
"Três da manhã, eu vejo tudo e ninguém me vê Subindo o campo de fora Eu, meu parceiro Dinho, ouvindo 2Pac Tomando um vinho, vivão e consciente","trê manhã , vej tud ninguém vê sub camp , parc dinh , ouv 2pac tom vinh , viv consci",Neutro
"Aí Batatão, Pablo, Neguin Emerson Marquinho, Cascão, Johnny MC, Sora Marcão, Pantaleão, Nelito, Celião, Ivan, Di (na Zona Norte) Sem palavra irmão","aí batat , pabl , neguin emerson marq , casc , johnny mc , sor marc , pantal , nelit , cel , ivan , di ( zon nort ) palavr irm",Neutro
"Aí os irmão do Pantanal (na Zona Oeste) A rapa do morro e aos que estão com Deus (Na Zona Leste, cara tô na área) Deda, Tchai, Edi 16, Edi (na Zona Sul)","aí irm pantan ( zon oest ) rap morr deu ( zon lest , car tô áre ) ded , tch , edi 16 , edi ( zon sul )",Neutro
"Um dia nos encontraremos A selva é como ela é, vaidosa e ambiciosa Irada e luxuriosa Pros moleque da quebrada","dia encontr selv , vaid ambici ir luxuri pro molequ quebr",Neutro
"Um futuro mais ameno, essa é a meta Pela fundão, sem palavras, muito amor Ai, ai, ai, ai, ah","futur amen , met fund , palavr , am ai , ai , ai , ai , ah",Neutro
"Firmeza total, vagabundo É desse jeito Ra ra taratatá, tataratatatatá Há","firm total , vagabund dess jeit ra ra taratat , tataratatatat",Negativo
"[Seu Jorge] O enredo revela, que fica sem roteiro, vou honrar o meu filme, ser forte","[ jorg ] enred revel , fic rot , vou honr film , fort",Neutro
e mostrar quem eu sou pra você Dance Dance Dance Dance Dance Dance,mostr pra danc danc danc danc danc danc,Neutro
"luz e som, num desafio a chance um entre mil romance além do limite onde o amor nos alcance então","luz som , desafi chanc mil romanc além limit ond am alcanc ent",Neutro
Dance Dance Dance oooo Dance Dance Dance,danc danc danc ooo danc danc danc,Neutro
livre na cena nos alto seguro o groove não cai enfim te encontrei nosso caso nas telas,livr cen alt segur groov cai enfim encontr cas tel,Neutro
dois vorás da lei já travamos combates com arte ainda vamos dançar outra vez,doi vor lei trav combat art aind vam danç outr vez,Negativo
nessa história bandida qual meu pagamento final? eu não sei tão na vencida tão na da vida do amor longa metragem da dor,ness histór band pag final ? sei tão venc tão vid am long metr dor,Negativo
Dance Dance Dance oooo Dance Dance Dance,danc danc danc ooo danc danc danc,Neutro
"luz e som, num desafio a chance um entre mil romance além do limite onde o amor nos alcance então","luz som , desafi chanc mil romanc além limit ond am alcanc ent",Neutro
Dance Dance Dance Dance Dance Dance livre na cena nos alto seguro,danc danc danc danc danc danc livr cen alt segur,Neutro
o groove não cai enfim te encontrei [Pixote] E se for possível em algum lugar vou-te ver dançar,groov cai enfim encontr [ pixot ] possível algum lug vou-t ver danç,Neutro
se não vo te ligar e te encontrar amei seus detalhes eu gosto assim uma linda rosa que me convenceu no fim eu sei o que é isso o que eu vivo,vo lig encontr ame detalh gost assim lind ros convenc fim sei viv,Neutro
o perigo é constante um aviso não sou aquele do carinho tenho o que dizer mas quero com você até amanhecer viver esse momento e nada mais,perig const avis car diz quer amanhec viv moment nad,Negativo
é difícil não vou te difamar jamais primeiro que quis você gosto quer BIS eu sei do que fiz eu te fiz feliz Mademoiselle és capaz de me sorrir,difícil vou difam jamal prim quil gost qu bi sei fiz fiz feliz mademoisell és capaz sorr,Negativo
vamos curtir um pouco mais fico gravado na mente igual não acho a saudade é presente frente é puxar um bonde amigo,vam curt pouc fic grav ment igual ach saudad pres frent pux bond amig,Neutro
depois da dança comemora que o vilão sumiu (hé hé) ir ao romance esse louco que acendi até um lance então Dance,danç comem vil sum ( hé hé ) ir romanc louc acend lanc ent danc,Negativo
Livre na cena nos alto seguro groove não cai enfim te encontrei,livr cen alt segur groov cai enfim encontr,Neutro
[Mano Brown] Se o final for feliz não os perdoaram sabe vamu fugi desse lugar Baby,[ man brown ] final feliz perdo sab vamu fug dess lug baby,Negativo
nas ilhas do sul fuga de alcatraz vem vê nas Marginais como Bone e Clyde vê antes que acendam a luzes da ribalta olhares se cruzem acusem minha falta,ilh sul fug alcatraz vem vê marg bon clyd vê ant acend luz ribalt olh cruz acus falt,Negativo
"no auge da festa na alta eu mó guela mó, mó vela longe sem brisa naquela sem mais mil uma noite seqüela eu","aug fest alt mó guel mó , mó vel long bris naquel mil noit seqüel",Negativo
também fui vexame meu tsunami é seu esse meu mundo infame a chapelandia não vê não entende a discórdia,vexam tsunam mund infam chapeland vê entend discórd,Negativo
eu quero é liberdade não misericórdia agora se quiser vem se não quer vem (eu Vou) assalto do trem pagador dos malotes de amor,quer liberdad misericórd agor quis vem qu vem ( vou ) assalt tr pag malot am,Negativo
e felicidade dádiva que meu Deus deixou vamô antes que venha o ataque e nos queime na praça igual a Joana Dark um dia entre nós esse som e a saudade,felic dádiv deu deix vamô ant venh ataqu queim praç igual joan dark dia som saudad,Negativo
era uma vez de um tempo em que éramos reis de quando o campinho era um palco zica e o crime era um passo do Michael,vez temp reil camp palc zic crim pass michael,Negativo
aos trancos barracos e barrancos debate louco as 2 horas esperando o resgate mar proibido e um mal compreendido e um amor bandido em um outro nível,tranc barrac barranc debat louc 2 hor esper resgat mar proib mal compreend am band outr nível,Negativo
se for possível Dance Dance Dance oooo Dance Dance Dance,possível danc danc danc ooo danc danc danc,Neutro
"É tru, Racionais tá aí de novo, morô? E os caras é mili anos na parada (pode crê) E o caras representa a favela do começo ao fim","tru , racion tá aí nov , morô ? car mil ano par ( pod crê ) car represent favel começ fim",Neutro
"Mais aí, é muita treta em é idéia de mil grau no baguio Racionais roubando a cena","aí , muit tret idé mil grau bagui racion roub cen",Negativo
"Realidade é a palavra atitude é o meu o lema Esquema feito a justiça está com nóis Lei da periferia irmão, ouça a minha voz","real palavr atitud lem esquem feit justiç nóil lei perif irm , ouç voz",Neutro
"Meu rap é linha de frente dessa guerrilha Faça o que puder, vier siga minha estreita trilha Na picadilha a matilha está a solta","rap linh frent dess guerrilh faç pud , vi sig estreit trilh picadilh matilh solt",Neutro
Idéia de mil grau e o veneno escorrendo da boca [Mano Brown],idé mil grau venen escorr boc [ man brown ],Negativo
"Nego, a vida é loka Cruel e sangrenta Só muito pior, sem dó, marginal e violenta","neg , vid lok cruel sangrent pi , dó , marg violent",Negativo
"O sangue esquenta, ei Éder eu quero ver [Mano Brown] Edinho liga o Marquinhos pra fazer o chão tremer","sang esquent , ei éd quer ver [ man brown ] edinh lig marq pra faz chã trem",Negativo
Pode crê Não sou aquele que via satélite te seduz Porque bala de PT não faz sinal da cruz,pod crê via satélit seduz porqu bal pt faz sinal cruz,Neutro
Nem muito menos tô aqui pra fazer média Não sou aquele que pega carona na tragédia Vejo de perto a viúva da dor,menos tô aqu pra faz méd peg caron tragéd vej pert viúv dor,Negativo
"Pisando em caco de vidro, filha do rancor Convivendo com o divino e o diabólico Entre os crentes, espíritas, o crime e os católicos Tristes, eufóricos, tranquilos e melancólicos","pis cac vidr , filh ranc conviv divin diaból crent , espírit , crim catól trist , eufór , tranquil melancól",Negativo
"O engatilhado sofrimento é metabólico Soldado da paz, mas treinado para guerra Meu arsenal é o seu calvário nas ruas da serra","engatilh sofr metaból sold paz , trein guerr arsen calv rua serr",Negativo
"São Paulo, dia 1º de Outubro de 1992, oito horas da manhã Aqui estou, mais um dia Sob o olhar sanguinário do vigia Você não sabe como é caminhar com a cabeça na mira de uma HK","paul , dia 1º outubr 1992 , oit hor manhã aqu , dia sob olh sanguin vig sab caminh cabeç mir hk",Negativo
"Metralhadora alemã ou de Israel Estraçalha ladrão que nem papel Na muralha, em pé, mais um cidadão José Servindo o Estado, um PM bom","metralh alemã israel estraçalh ladr papel muralh , pé , cidad josé serv est , pm bom",Negativo
"Passa fome, metido a Charles Bronson Ele sabe o que eu desejo Sabe o que eu penso O dia tá chuvoso, o clima tá tenso","pass fom , met charl bronson sab desej sab pens dia tá chuv , clim tá tens",Negativo
"Vários tentaram fugir, eu também quero Mas de um a cem, a minha chance é zero Será que Deus ouviu minha oração?","vári tent fug , quer cem , chanc zer deu ouv oraç ?",Negativo
"Será que o juiz aceitou a apelação? Mando um recado lá pro meu irmão Se tiver usando droga, tá ruim na minha mão Ele ainda tá com aquela mina","juiz aceit apel ? mand rec lá pro irm us drog , tá ruim mão aind tá min",Negativo
"Pode crer, moleque é gente fina Tirei um dia a menos ou um dia a mais, sei lá Tanto faz, os dias são iguais Acendo um cigarro, e vejo o dia passar","pod cr , molequ gent fin tir dia menos dia , sei lá tant faz , dia igual acend cigarr , vej dia pass",Negativo
"Mato o tempo pra ele não me matar Homem é homem, mulher é mulher Estuprador é diferente, né?","mat temp pra mat hom hom , mulh mulh estupr difer , né ?",Negativo
"Toma soco toda hora, ajoelha e beija os pés E sangra até morrer na rua 10 Cada detento uma mãe, uma crença Cada crime uma sentença","tom soc tod hor , ajoelh beij pé sangr morr rua 10 cad detent mãe , crenç cad crim sentenç",Negativo
"Cada sentença um motivo, uma história de lágrima Sangue, vidas inglórias, abandono, miséria, ódio Sofrimento, desprezo, desilusão, ação do tempo Misture bem essa química","cad sentenç motiv , histór lágr sang , vid inglór , abandon , misér , ódi sofr , desprez , desilus , açã temp mistur bem quím",Negativo
"Pronto, eis um novo detento Lamentos no corredor, na cela, no pátio Ao redor do campo, em todos os cantos","pront , ei nov detent lament corr , cel , páti redor camp , tod cant",Negativo
"Mas eu conheço o sistema, meu irmão, hã Aqui não tem santo Rátátátá preciso evitar Que um safado faça minha mãe chorar","conheç sistem , irm , hã aqu sant rátátát precis evit saf faç mãe chor",Negativo
"Minha palavra de honra me protege Pra viver no país das calças bege Tic, tac, ainda é 9 e 40 O relógio da cadeia anda em câmera lenta","palavr honr proteg pra viv país calç beg tic , tac , aind 9 40 relógi cade and câm lent",Neutro
"Ratatatá, mais um metrô vai passar Com gente de bem, apressada, católica Lendo jornal, satisfeita, hipócrita","ratatat , metrô vai pass gent bem , apress , catól lend jorn , satisfeit , hipócrit",Negativo
"Com raiva por dentro, a caminho do centro Olhando pra cá, curiosos, é lógico Não, não é não, não é o zoológico","raiv dentr , caminh centr olh pra cá , curi , lógic , , zoológ",Negativo
"Minha vida não tem tanto valor Quanto seu celular, seu computador Hoje tá difícil, não saiu o Sol Hoje não tem visita, não tem futebol","vid tant val quant celul , comput hoj tá difícil , saiu sol hoj visit , futebol",Negativo
"Alguns companheiros têm a mente mais fraca Não suportam o tédio, arruma quiaca Graças a Deus e à Virgem Maria Faltam só um ano, três meses e uns dias","algum companh têm ment frac suport tédi , arrum quiac graç deu virgem mar falt ano , trê mes um dia",Negativo
Tem uma cela lá em cima fechada Desde Terça-feira ninguém abre pra nada Só o cheiro de morte e Pinho Sol Um preso se enforcou com o lençol,cel lá cim fech desd terça-f ninguém abr pra nad cheir mort pinh sol pres enforc lençol,Negativo
Qual que foi? Quem sabe? Não conta Ia tirar mais uns seis de ponta a ponta Nada deixa um homem mais doente,? sab ? cont ia tir um seil pont pont nad deix hom doent,Negativo
"Que o abandono dos parentes Aí moleque, me diz, então, cê quer o quê? A vaga tá lá esperando você Pega todos seus artigos importado","abandon parent aí molequ , diz , ent , cê qu quê ? vag tá lá esper peg tod artig import",Negativo
Seu currículo no crime e limpa o rabo A vida bandida é sem futuro Sua cara fica branca desse lado do muro Já ouviu falar de Lúcifer?,currícul crim limp rab vid band futur car fic branc dess lad mur ouv fal lúcif ?,Negativo
"Que veio do Inferno com moral Um dia no Carandiru, não, ele é só mais um Comendo rango azedo com pneumonia Aqui tem mano de Osasco, do Jardim D'Abril, Parelheiros","vei infern moral dia carandiru , , com rang azed pneumon aqu man osasc , jardim d'abril , parelh",Negativo
"Mogi, Jardim Brasil, Bela Vista, Jardim Ângela Heliópolis, Itapevi, Paraisópolis Ladrão sangue bom tem moral na quebrada","mog , jardim brasil , bel vist , jardim ângel heliópolil , itapev , paraisópolil ladr sang bom moral quebr",Neutro
"Mas pro Estado é só um número, mais nada Nove pavilhões, sete mil homens Que custam trezentos reais por mês, cada Na última visita, o neguinho veio aí","pro est númer , nad nov pavilh , set mil hom cust trezent real mê , cad últ visit , negu vei aí",Neutro
"Trouxe umas frutas, Marlboro, Free Ligou que um pilantra lá da área voltou Com Kadett vermelho, placa de Salvador Pagando de gatão, ele xinga, ele abusa","troux uma frut , marlbor , fre lig pilantr lá áre volt kadett vermelh , plac salv pag gat , xing , abus",Negativo
"Com uma nove milímetros embaixo da blusa Aí neguinho, vem cá, e os manos onde é que tá? Lembra desse cururu que tentou me matar?","nov milímetr embaix blus aí negu , vem cá , man ond tá ? lembr dess cururu tent mat ?",Negativo
